Rank;Name;Title;Country;Rating;Games;B-Year
1;Carlsen, Magnus;g;NOR;2842;0;1990
2;Caruana, Fabiano;g;USA;2822;0;1992
3;Mamedyarov, Shakhriyar;g;AZE;2801;0;1985
4;Ding, Liren;g;CNH;2797;0;1992
5;Giri, Anish;g;NED;2780;0;1994
6;So, Wesley;g;USA;2780;0;1993
7;Kramnik, Vladimir;g;RUS;2779;0;1990
8;Vachier-Lagrave, Maxime;g;FRA;2779;0;1990
9;Nakamura, Hikaru;g;USA;2777;0;1987
10;Karjakin, Sergey;g;RUS;2773;0;1990
11;Nepomniachtchi, Ian;g;RUS;2768;7;1990
12;Anand, Viswanathan;g;IND;2768;0;1969
13;Aronian, Levon;g;ARM;2767;0;1982
14;Grischuk, Alexander;g;RUS;2766;0;1983
15;Yu, Yangui;g;CHN;2760;4;1994
16;Svidler, Peter;g;RUS;2753;0;1976
17;Radjabov, Teimour;g;AZE;2751;0;1987
18;Jakovenko, Dmitry;g;RUS;2748;4;1983
19;Topalov, Veselin;g;FID;2747;0;1975
20;Navara, David;g;CZE;2741;0;1985
